ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,share
1,"< $10K",2020,"2020","true","true",16330281,93589.07647025918,786644,"United States","01000US","united-states",0.11016978544901299
2,"$10-20k",2020,"2020","true","true",18047174,97743.48311569727,789351,"United States","01000US","united-states",0.12175254593236977
3,"$20-30k",2020,"2020","true","true",20352479,102875.52676728423,864001,"United States","01000US","united-states",0.13730493950382985
4,"$30-40k",2020,"2020","true","true",19115220,100180.67827181323,834111,"United States","01000US","united-states",0.1289579576867466
5,"$40-50k",2020,"2020","true","true",15408130,91225.48461689966,694450,"United States","01000US","united-states",0.10394863237628921
6,"$50-60k",2020,"2020","true","true",13128621,84927.02484353623,611145,"United States","01000US","united-states",0.08857026764030615
7,"$60-70k",2020,"2020","true","true",9746953,74086.5329139754,457195,"United States","01000US","united-states",0.06575635292446061
8,"$70-80k",2020,"2020","true","true",7151890,64054.081534081255,336517,"United States","01000US","united-states",0.04824915057217579
9,"$80-90k",2020,"2020","true","true",5915726,58510.64119755533,281355,"United States","01000US","united-states",0.03990955600795527
10,"$90-100k",2020,"2020","true","true",4179982,49482.37049442148,201380,"United States","01000US","united-states",0.028199620087415285
11,"$100-110k",2020,"2020","true","true",4307615,50209.88701800759,207952,"United States","01000US","united-states",0.029060676931826835
12,"$110-120k",2020,"2020","true","true",2059203,34985.37698863254,100386,"United States","01000US","united-states",0.01389210343079607
13,"$120-130k",2020,"2020","true","true",2114430,35444.72186612619,102330,"United States","01000US","united-states",0.014264684082714592
14,"$130-140k",2020,"2020","true","true",1666037,31511.029844047032,81885,"United States","01000US","united-states",0.011239668125742432
15,"$140-150k",2020,"2020","true","true",1106018,25723.46796958681,54518,"United States","01000US","united-states",0.007461584143147717
16,"$150-160k",2020,"2020","true","true",1152867,26258.43669569568,56334,"United States","01000US","united-states",0.007777643877729186
17,"$160-170k",2020,"2020","true","true",911439,23366.799224435217,45608,"United States","01000US","united-states",0.006148886175312167
18,"$170-180k",2020,"2020","true","true",590807,18833.469882408906,29445,"United States","01000US","united-states",0.003985790595506288
19,"$180-190k",2020,"2020","true","true",515229,17592.145498006077,25774,"United States","01000US","united-states",0.0034759149819350633
20,"$190-200k",2020,"2020","true","true",393160,15373.85201819406,19804,"United States","01000US","united-states",0.0026523948269557606
21,"$200k+",2020,"2020","true","true",4035048,48641.39437249888,207464,"United States","01000US","united-states",0.027221844647772376
1,"< $10K",2020,"2020","true","true",861526,21662.25493146512,45272,"New York","04000US36",,0.09637254184724088
2,"$10-20k",2020,"2020","true","true",1009907,23237.232404371818,46627,"New York","04000US36",,0.11297082690403017
3,"$20-30k",2020,"2020","true","true",1073086,23857.44515854479,48664,"New York","04000US36",,0.1200381943675389
4,"$30-40k",2020,"2020","true","true",1004833,23186.198972257884,46352,"New York","04000US36",,0.11240323605090106
5,"$40-50k",2020,"2020","true","true",864015,21690.181770616673,40826,"New York","04000US36",,0.09665096786880933
6,"$50-60k",2020,"2020","true","true",785946,20786.820373152746,38085,"New York","04000US36",,0.08791796623046963
7,"$60-70k",2020,"2020","true","true",624435,18710.89909263157,29987,"New York","04000US36",,0.06985092518203961
8,"$70-80k",2020,"2020","true","true",482942,16594.43617511989,23200,"New York","04000US36",,0.05402314974219025
9,"$80-90k",2020,"2020","true","true",423327,15591.159419370333,20540,"New York","04000US36",,0.047354460599641726
10,"$90-100k",2020,"2020","true","true",320835,13654.6020824221,15434,"New York","04000US36",,0.035889438581725365
11,"$100-110k",2020,"2020","true","true",332174,13884.655991106249,15865,"New York","04000US36",,0.037157848649449224
12,"$110-120k",2020,"2020","true","true",150390,9440.610712734306,7375,"New York","04000US36",,0.01682301702839677
13,"$120-130k",2020,"2020","true","true",157166,9647.225625022786,7457,"New York","04000US36",,0.017580998033679147
14,"$130-140k",2020,"2020","true","true",126808,8680.52075939791,6072,"New York","04000US36",,0.014185073098855892
